"Mês/ano";"RO";"PA";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"GO";"DF";"IG";"Total"
"2001/Jun";36;21;89;-;224;4;55;218;229;511;1220;1680;63;-;20;-;1;-;4;-;4375
"2001/Jul";25;132;813;-;129;7;937;634;1812;549;3333;2062;97;-;11;-;1;-;-;-;10542
"2001/Ago";31;86;675;-;32;14;1216;234;3309;844;1886;2999;147;-;213;-;1;-;10;-;11697
"2001/Set";26;48;750;-;85;1;678;334;2439;338;1536;2629;198;-;8;-;2;-;5;-;9077
"2001/Out";35;53;414;-;36;5;658;27;3150;1085;3075;2836;232;-;31;-;-;-;11;-;11648
"2001/Nov";36;72;93;-;38;3;891;209;3360;986;3468;1911;577;-;50;-;-;-;12;-;11706
"2001/Dez";15;64;56;-;99;3;749;123;2202;633;1966;1557;160;-;40;-;-;-;10;-;7677
"2002/Jan";22;37;92;-;74;1;88;60;1466;920;3938;1485;293;-;-;-;-;-;5;-;8481
"2002/Fev";17;16;60;-;14;2;466;23;1149;1323;4224;1478;125;3;-;18;-;-;7;-;8925
"2002/Mar";24;102;111;-;24;1;681;57;1248;311;4625;2126;188;7;-;26;-;43;2;-;9576
"2002/Abr";38;87;171;-;17;-;288;76;3253;1172;7002;2851;241;6;-;23;1;38;3;-;15267
"2002/Mai";23;156;123;-;134;19;333;493;2714;386;6900;2609;377;10;-;39;-;20;3;-;14339
"2002/Jun";22;151;101;-;75;-;328;153;1685;490;3156;2500;214;10;-;44;-;6;3;-;8938
"2002/Jul";11;35;281;-;108;4;963;153;2995;575;6424;2196;482;8;-;39;-;5;-;-;14279
"2002/Ago";10;36;240;1;202;7;725;276;2507;1006;4416;3216;560;6;-;12;-;-;2;-;13222
"2002/Set";18;44;148;-;187;5;708;360;2320;477;5785;2911;581;-;-;20;-;1;6;-;13571
"2002/Out";29;34;305;2;107;-;724;418;2418;470;6566;3784;408;4;-;16;-;4;5;-;15294
"2002/Nov";17;55;252;-;19;-;226;121;1785;501;5365;2790;242;1;-;11;-;2;1;-;11388
"2002/Dez";11;5;124;-;16;-;242;186;732;196;3927;1214;187;-;-;1;-;-;5;-;6846
"2003/Jan";69;32;153;-;5;48;40;367;2754;330;4361;1179;239;34;-;-;-;-;4;-;9615
"2003/Fev";6;42;306;-;46;28;326;201;2652;673;3530;1672;304;11;-;20;-;-;6;-;9823
"2003/Mar";7;16;173;-;20;18;418;306;2191;640;3696;2598;561;6;-;20;-;-;2;-;10672
"2003/Abr";9;9;254;-;44;14;372;452;2102;858;3796;2502;213;12;-;18;-;-;4;-;10659
"2003/Mai";2;5;501;-;35;213;497;374;2794;740;4821;3272;417;22;-;41;-;-;8;-;13742
"2003/Jun";-;4;212;-;40;48;553;441;2175;956;3388;3025;288;6;-;33;1;-;9;-;11179
"2003/Jul";-;13;271;-;80;29;1468;699;3769;773;4412;2968;381;19;-;18;4;-;-;-;14904
"2003/Ago";-;16;640;-;35;639;905;533;2844;750;3389;2783;339;13;-;103;1;-;8;-;12998
"2003/Set";3;60;709;-;53;45;691;693;2234;857;3851;3130;274;18;-;13;-;-;6;-;12637
"2003/Out";7;16;509;-;19;70;1070;554;3212;1156;3384;2877;247;13;-;29;-;-;-;-;13163
"2003/Nov";20;48;644;-;20;8;730;251;1931;810;2847;2331;165;2;-;18;1;-;-;-;9826
"2003/Dez";5;56;1032;-;11;248;443;436;1043;531;2210;1457;68;6;-;3;-;-;-;-;7549
"2004/Jan";10;27;281;-;17;18;35;115;797;695;2469;1013;105;11;-;8;-;-;-;-;5601
"2004/Fev";28;46;314;-;33;3;100;97;1542;870;3147;1150;216;7;-;26;-;-;-;-;7579
"2004/Mar";29;32;745;-;33;72;137;485;2426;1238;4067;2325;521;18;-;31;-;-;-;-;12159
"2004/Abr";18;34;274;-;20;35;295;358;2057;1189;2946;2225;360;13;-;27;1;-;-;-;9852
"2004/Mai";28;34;527;-;7;91;743;640;2298;811;4764;3676;509;18;-;15;-;-;-;-;14161
"2004/Jun";30;35;708;-;9;84;406;555;1518;840;2622;3805;495;22;-;26;-;6;-;-;11161
"2004/Jul";21;14;512;-;74;74;490;661;2421;854;4419;2897;675;2;-;14;-;4;-;-;13132
"2004/Ago";8;4;461;-;54;87;813;368;2275;811;5025;2736;529;4;-;21;-;5;-;-;13201
"2004/Set";23;5;376;-;24;65;682;214;1501;693;3541;2112;226;-;-;9;1;6;-;-;9478
"2004/Out";33;1;608;-;5;80;623;79;1380;856;1947;1696;265;3;-;15;-;4;-;-;7595
"2004/Nov";8;1;693;-;29;6;1090;253;2158;728;2113;2540;259;6;-;30;-;2;-;-;9916
"2004/Dez";2;-;249;-;17;15;533;74;564;260;759;829;113;1;-;1;-;-;-;-;3417
"2005/Jan";-;19;118;-;4;-;-;442;564;536;1041;1262;20;-;-;12;1;-;-;-;4019
"2005/Fev";20;19;253;-;40;69;54;570;716;503;1256;1403;180;1;-;38;-;-;-;-;5122
"2005/Mar";1;62;457;-;29;179;326;652;1264;900;1933;1601;204;5;-;64;-;-;-;-;7677
"2005/Abr";1;77;484;-;20;48;278;700;2343;987;2493;2162;248;5;-;36;-;-;-;-;9882
"2005/Mai";3;49;2894;-;24;178;432;1289;1521;854;3162;3126;600;11;-;109;-;-;-;-;14252
"2005/Jun";6;53;721;-;21;171;434;687;1801;899;2147;3250;624;21;-;32;-;-;-;-;10867
"2005/Jul";13;20;979;-;25;762;1040;827;2452;1031;3445;2970;620;9;-;31;-;-;-;-;14224
"2005/Ago";-;29;484;-;53;755;837;1224;2603;1365;2792;3563;729;14;-;19;1;-;-;-;14468
"2005/Set";3;149;683;-;29;2986;645;950;2920;954;2090;3055;343;1;-;21;-;-;-;2;14831
